Name,Archived,Description,Parent IDs,Parent names,Crop/variety,Season,Area/Location
2022-W06 Horseradish HVE22-S,,Length (m): 13; Nr of plants: 1950,,,Horseradish,WINTER,HortasDoVale-East (HDVE) - bed 22 south section
2022-W06 Kolrabi HVE27,,Length (m): 49.8; Nr of plants: 224,,,Kolrabi,WINTER,HortasDoVale-East (HDVE) - bed 27
2022-W06 Radishes HVE22-S,,Length (m): 13; Nr of plants: 1950,,,Radishes,WINTER,HortasDoVale-East (HDVE) - bed 22 south section
2022-W06 Sprouting turnip HVE22-N,,Length (m): 18; Nr of plants: 2700,,,Sprouting turnip,WINTER,HortasDoVale-East (HDVE) - bed 22 north section
2022-W06 Turnip greens HVE22-N,,Length (m): 9; Nr of plants: 1350,,,Turnip greens,WINTER,HortasDoVale-East (HDVE) - bed 22 north section
2022-W07 Lettuce HVE27,,Length (m): 49.8; Nr of plants: 248,,,Lettuce,WINTER,HortasDoVale-East (HDVE) - bed 27
2022-W07 Rucula HVE21-S,,Length (m): 8.91; Nr of plants: 320,,,Rucula,WINTER,HortasDoVale-East (HDVE) - bed 21 south section
2022-W08 Broccoli HVW03,,Length (m): 57; Nr of plants: 256,,,Broccoli,WINTER,HortasDoVale-West (HDVW) - bed 3
2022-W08 Curly kale HVE14-S,,Length (m): 12.5; Nr of plants: 112,,,Curly kale,WINTER,HortasDoVale-East (HDVE) - bed 14 south section
2022-W08 Dinosaur kale HVE14-S,,Length (m): 16; Nr of plants: 144,,,Dinosaur kale,WINTER,HortasDoVale-East (HDVE) - bed 14 south section
2022-W08 Green cabbage HVW14-N,,Length (m): 31.2; Nr of plants: 140,,,Green cabbage,WINTER,HortasDoVale-West (HDVW) - bed 14 north section
2022-W08 Parsley SGH4-N,,Length (m): 4.45; Nr of plants: 160,,,Parsley,WINTER,Summer Green House (SGH) - bed 4 north section
2022-W08 Purple cabbage HVW14-S,,Length (m): 26.7; Nr of plants: 120,,,Purple cabbage,WINTER,HortasDoVale-West (HDVW) - bed 14 south section
2022-W09 Beetroot HVW03,,Length (m): 57; Nr of plants: 256,,,Beetroot,WINTER,HortasDoVale-West (HDVW) - bed 3
2022-W09 Beetroot HVW14,,Length (m): 57; Nr of plants: 256,,,Beetroot,WINTER,HortasDoVale-West (HDVW) - bed 14
2022-W09 Cucumber WGH1,,Length (m): 9.35; Nr of plants: 32,,,Cucumber,WINTER,Winter Green House - bed 1
2022-W09 Lettuce HVW03,,Length (m): 57; Nr of plants: 256,,,Lettuce,WINTER,HortasDoVale-West (HDVW) - bed 3
2022-W09 Lettuce HVW14,,Length (m): 57; Nr of plants: 256,,,Lettuce,WINTER,HortasDoVale-West (HDVW) - bed 14
2022-W09 Spinaches HVE08-S,,Length (m): 29.4; Nr of plants: 1058,,,Spinaches,WINTER,HortasDoVale-East (HDVE) - bed 8 south section
2022-W09 Spring onion HVE08-N,,Length (m): 18.7; Nr of plants: 748,,,Spring onion,WINTER,HortasDoVale-East (HDVE) - bed 8 north section
2022-W09 Tomatoes small WGH6,,Length (m): 9.8; Nr of plants: 13,,,Tomatoes small,WINTER,Winter Green House - bed 6
2022-W09 Tomatoes varied WGH4,,Length (m): 21.4; Nr of plants: 42,,,Tomatoes varied,WINTER,Winter Green House - bed 4
2022-W09 Tomatoes varied WGH6,,Length (m): 9.8; Nr of plants: 13,,,Tomatoes varied,WINTER,Winter Green House - bed 6
2022-W09 Zucchini WGH1,,Length (m): 12; Nr of plants: 15,,,Zucchini,WINTER,Winter Green House - bed 1
2022-W09 Zucchini WGH2,,Length (m): 21.4; Nr of plants: 28,,,Zucchini,WINTER,Winter Green House - bed 2
2022-W10 Celery SGH1-N,,Length (m): 17.8; Nr of plants: 320,,,Celery,WINTER,Summer Green House (SGH) - bed 1 north section
2022-W10 Chinese cabbage HVE10-S,,Length (m): 30.3; Nr of plants: 545,,,Chinese cabbage,WINTER,HortasDoVale-East (HDVE) - bed 10 south section
2022-W10 Coaulifower HVE26-N,,Length (m): 24.9; Nr of plants: 112,,,Coaulifower,WINTER,HortasDoVale-East (HDVE) - bed 26 north section
2022-W10 Lambs lettuce SGH4-S,,Length (m): 11.6; Nr of plants: 208,,,Lambs lettuce,WINTER,Summer Green House (SGH) - bed 4 south section
2022-W10 Lettuce HVE26-N,,Length (m): 24.9; Nr of plants: 174,,,Lettuce,WINTER,HortasDoVale-East (HDVE) - bed 26 north section
2022-W10 Pack choi HVE22-N,,Length (m): 27.6; Nr of plants: 496,,,Pack choi,WINTER,HortasDoVale-East (HDVE) - bed 22 north section
2022-W10 Radishes SGH3-S,,Length (m): 6.23; Nr of plants: 934,,,Radishes,WINTER,Summer Green House (SGH) - bed 3 south section
2022-W10 Tomato roma HVW05,,Length (m): 57; Nr of plants: 142,,,Tomato roma,WINTER,HortasDoVale-West (HDVW) - bed 5
2022-W10 Zucchini HVE23-S,,Length (m): 8.91; Nr of plants: 11,,,Zucchini,WINTER,HortasDoVale-East (HDVE) - bed 23 south section
2022-W10 Zucchini HVE24-S,,Length (m): 10.7; Nr of plants: 14,,,Zucchini,WINTER,HortasDoVale-East (HDVE) - bed 24 south section
