Bulk update,image_target_id,ID,Asset name,Land type,Asset type,Flags,Parents,Group,Location,Status
,,460,Summer Green House (SGH) - bed 3 north section,Bed,Land,"Flags
          
              Organic",SGH-N : Summer Green House North Section,,,Active
,,459,Summer Green House (SGH) - bed 2 north section,Bed,Land,"Flags
          
              Organic",SGH-N : Summer Green House North Section,,,Active
,,458,Summer Green House (SGH) - bed 1 north section,Bed,Land,"Flags
          
              Organic",SGH-N : Summer Green House North Section,,,Active
,,457,Summer Green House (SGH) - bed 2 south section,Bed,Land,"Flags
          
              Organic",SGH-S : Summer Green House South Section,,,Active
,,456,Summer Green House (SGH) - bed 3 south section,Bed,Land,"Flags
          
              Organic",SGH-S : Summer Green House South Section,,,Active
,,455,Summer Green House (SGH) - bed 4 south section,Bed,Land,"Flags
          
              Organic",SGH-S : Summer Green House South Section,,,Active
,,454,Summer Green House (SGH) - bed 1 south section,Bed,Land,"Flags
          
              Organic",SGH-S : Summer Green House South Section,,,Active
,,453,HortasDoVale-East (HDVE) - bed 1 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 1,,,Active
,,452,HortasDoVale-East (HDVE) - bed 1 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 1,,,Active
,,451,HortasDoVale-East (HDVE) - bed 2 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 2 north section,,,Active
,,450,HortasDoVale-East (HDVE) - bed 2 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 2 north section,,,Active
,,449,HortasDoVale-East (HDVE) - bed 3 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 3,,,Active
,,448,HortasDoVale-East (HDVE) - bed 3 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 3,,,Active
,,447,HortasDoVale-East (HDVE) - bed 4 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 4,,,Active
,,446,HortasDoVale-East (HDVE) - bed 4 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 4,,,Active
,,445,HortasDoVale-East (HDVE) - bed 5 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 5,,,Active
,,444,HortasDoVale-East (HDVE) - bed 5 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 5,,,Active
,,443,HortasDoVale-East (HDVE) - bed 6 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 6,,,Active
,,442,HortasDoVale-East (HDVE) - bed 6 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 6,,,Active
,,441,HortasDoVale-East (HDVE) - bed 7 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 7,,,Active
,,440,HortasDoVale-East (HDVE) - bed 7 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 7,,,Active
,,439,HortasDoVale-East (HDVE) - bed 8 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 8,,,Active
,,438,HortasDoVale-East (HDVE) - bed 8 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 8,,,Active
,,437,HortasDoVale-East (HDVE) - bed 9 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 9,,,Active
,,436,HortasDoVale-East (HDVE) - bed 9 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 9,,,Active
,,435,HortasDoVale-East (HDVE) - bed 10 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 10,,,Active
,,434,HortasDoVale-East (HDVE) - bed 10 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 10,,,Active
,,433,HortasDoVale-East (HDVE) - bed 11 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 11,,,Active
,,432,HortasDoVale-East (HDVE) - bed 11 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 11,,,Active
,,431,HortasDoVale-East (HDVE) - bed 12 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 12,,,Active
,,430,HortasDoVale-East (HDVE) - bed 12 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 12,,,Active
,,429,HortasDoVale-East (HDVE) - bed 13 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 13,,,Active
,,428,HortasDoVale-East (HDVE) - bed 13 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 13,,,Active
,,427,HortasDoVale-East (HDVE) - bed 14 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 14,,,Active
,,426,HortasDoVale-East (HDVE) - bed 14 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 14,,,Active
,,425,HortasDoVale-East (HDVE) - bed 15 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 15,,,Active
,,424,HortasDoVale-East (HDVE) - bed 15 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 15,,,Active
,,423,HortasDoVale-East (HDVE) - bed 16 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 16,,,Active
,,422,HortasDoVale-East (HDVE) - bed 16 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 16,,,Active
,,421,HortasDoVale-East (HDVE) - bed 17 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 17,,,Active
,,420,HortasDoVale-East (HDVE) - bed 17 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 17,,,Active
,,419,HortasDoVale-East (HDVE) - bed 18 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 18,,,Active
,,418,HortasDoVale-East (HDVE) - bed 18 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 18,,,Active
,,417,HortasDoVale-East (HDVE) - bed 19 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 19,,,Active
,,416,HortasDoVale-East (HDVE) - bed 19 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 19,,,Active
,,415,HortasDoVale-East (HDVE) - bed 20 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 20,,,Active
,,414,HortasDoVale-East (HDVE) - bed 20 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 20,,,Active
,,413,HortasDoVale-East (HDVE) - bed 21 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 21,,,Active
,,412,HortasDoVale-East (HDVE) - bed 21 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 21,,,Active
,,411,HortasDoVale-East (HDVE) - bed 22 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 22,,,Active
,,410,HortasDoVale-East (HDVE) - bed 22 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 22,,,Active
,,409,HortasDoVale-East (HDVE) - bed 23 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 23,,,Active
,,408,HortasDoVale-East (HDVE) - bed 23 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 23,,,Active
,,407,HortasDoVale-East (HDVE) - bed 24 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 24,,,Active
,,406,HortasDoVale-East (HDVE) - bed 24 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 24,,,Active
,,405,HortasDoVale-East (HDVE) - bed 25 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 25,,,Active
,,404,HortasDoVale-East (HDVE) - bed 25 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 25,,,Active
,,403,HortasDoVale-East (HDVE) - bed 26 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 26,,,Active
,,402,HortasDoVale-East (HDVE) - bed 26 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 26,,,Active
,,401,HortasDoVale-East (HDVE) - bed 27 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 27,,,Active
,,400,HortasDoVale-East (HDVE) - bed 27 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-East (HDVE) - bed 27,,,Active
,,399,HortasDoVale-East (HDVE) - bed 1,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,398,HortasDoVale-East (HDVE) - bed 2 north section,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,397,HortasDoVale-East (HDVE) - bed 3,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,396,HortasDoVale-East (HDVE) - bed 4,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,395,HortasDoVale-East (HDVE) - bed 5,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,394,HortasDoVale-East (HDVE) - bed 6,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
